title,price,brand,availability,rating
"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)","₹61,999.00",OnePlus,In stock,4.3 out of 5 stars
"Samsung Galaxy S22 Ultra 5G (Burgundy, 12GB, 256GB Storage) with No Cost EMI/Additional Exchange Offers","₹84,999.00",Samsung,In stock,4.3 out of 5 stars
Redmi 12 5G Pastel Blue 4GB RAM 128GB ROM,"₹11,999.00",Redmi,In stock,3.8 out of 5 stars
itel P55 5G | Dimensity 6080 | 12GB* RAM+128GB ROM with Memory Fusion| 50MP AI Dual Rear Camera| 5000mAh Battery | 2 Years Warranty | Mint Green,"₹9,999.00",Itel,In stock,4.6 out of 5 stars
"TECNO Camon 20 Pro 5G (Serenity Blue, 8GB RAM,128GB Storage)| India's 1st MediaTek Dimensity 8050 Processor | 16GB Expandable RAM | 64MP RGBW(G+P) OIS Rear Camera|6.67 FHD+ Big AMOLED Screen","₹19,999.00",Tecno,In stock,4.1 out of 5 stars
"Xiaomi 12 Pro | 5G (Noir Black, 8GB RAM, 256GB Storage) | Snapdragon 8 Gen 1 | 50+50+50MP Flagship Cameras (OIS) | 10bit 2K+ Curved AMOLED Display | Sound by Harman Kardon","₹39,999.00",Xiaomi,In stock,3.9 out of 5 stars
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 128GB Storage)","₹19,999.00",OnePlus,In stock,4.1 out of 5 stars
"Vivo Y56 5G (Black Engine, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹18,999.00",Vivo,In stock,4.0 out of 5 stars
"Vivo Y56 5G (Orange Shimmer, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹18,999.00",Vivo,In stock,4.0 out of 5 stars
"Samsung Galaxy A54 5G (Awesome White, 8GB, 256GB Storage) | 50 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Without Charger","₹37,290.00",Samsung,Only 1 left in stock,Previous page
"OnePlus 11R 5G (Galactic Silver, 8GB RAM, 128GB Storage)","₹39,999.00",OnePlus,In stock,4.4 out of 5 stars
"OnePlus Nord 3 5G (Misty Green, 16GB RAM, 256GB Storage)","₹37,998.00",OnePlus,In stock,4.1 out of 5 stars
"realme 11x 5G (Purple Dawn, 8GB RAM, 128GB Storage)","₹15,199.00",Realme,In stock,3.9 out of 5 stars
"vivo Y27 (Garden Green, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹14,999.00",Vivo,In stock,4.2 out of 5 stars
"Samsung Galaxy A34 5G (Awesome Lime, 8GB, 256GB Storage) | 48 MP No Shake Cam (OIS) | IP67 | Gorilla Glass 5 | Voice Focus | Without Charger","₹29,999.00",Samsung,In stock,4.1 out of 5 stars
"realme 11 Pro+ 5G (Sunrise Beige, 12GB RAM, 256GB Storage) | 120 Hz Curved Display | 200MP ProLight Camera | 7050 5G Dimensity | 100W SUPERVOOC | 12GB Dynamic RAM | Premier Vegan Leather Finish Design","₹28,800.00",realme,In stock,3.8 out of 5 stars
"realme narzo 60X 5G（Stellar Green,6GB,128GB Storage ） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge","₹12,749.00",realme,In stock,4.1 out of 5 stars
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 8GB RAM, 256GB Storage)","₹21,999.00",OnePlus,In stock,4.1 out of 5 stars
"TECNO Camon 20 Premier 5G (Dark Welkin, 8GB RAM,512GB Storage)|8GB Expandable RAM| Industry 1st 50MP RGBW-Pro Camera| Segment 1st 108MP Ultra-Wide Macro Lens |6.67"" 120Hz, 10bit AMOLED in-Display","₹29,999.00",Tecno,In stock,4.3 out of 5 stars
"realme narzo 60X 5G（Nebula Purple 4GB, 128GB Storage） Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge","₹11,999.00",realme,In stock,4.1 out of 5 stars
"TECNO Pova 5 Pro 5G (Silver Fantasy, 8GB RAM,256GB Storage)| Segment 1st 68W Ultra Fast Charging | India's 1st Multi-Colored Backlit ARC Interface | 50MP AI Dual Camera |6.78”FHD+ Dot-in Display","₹15,999.00",Tecno,In stock,4.0 out of 5 stars
Redmi 12 5G Jade Black 8GB RAM 256GB ROM,"₹14,999.00",Redmi,In stock,3.8 out of 5 stars
